"id","speed","battery","status","received_at"
"Pod-1","1089","35","Operational","13:00:41"
"Pod-2","814","93","Maintenance","13:00:43"
"Pod-6","1115","83","Operational","13:00:45"
"Pod-1","845","81","Docked","13:00:47"
"Pod-4","1169","28","Maintenance","13:00:49"
"Pod-5","793","20","Docked","13:00:51"
"Pod-3","1025","100","Docked","13:00:53"
"Pod-2","835","46","Docked","13:00:55"
"Pod-2","906","65","Maintenance","13:00:57"
"Pod-6","713","97","Maintenance","13:00:59"
"Pod-4","1200","71","Docked","13:01:01"
"Pod-6","789","34","Docked","13:01:03"
"Pod-5","1131","45","Maintenance","13:01:05"
"Pod-6","672","47","Docked","13:01:07"
"Pod-2","1100","70","Maintenance","13:01:09"
"Pod-2","1076","26","Maintenance","13:01:11"
"Pod-5","923","53","Docked","13:01:13"
"Pod-3","746","31","Maintenance","13:01:15"
"Pod-2","997","31","Maintenance","13:01:17"
"Pod-3","672","98","Docked","13:01:19"
"Pod-2","1107","54","Maintenance","13:01:21"
"Pod-3","681","37","Operational","13:01:23"
"Pod-4","1049","30","Operational","13:01:25"
"Pod-2","1135","84","Operational","13:01:27"
"Pod-2","917","81","Operational","13:01:29"
"Pod-1","918","36","Docked","13:01:31"
"Pod-6","640","87","Maintenance","13:01:33"
"Pod-4","1061","42","Docked","13:01:35"
"Pod-1","1006","63","Operational","13:01:37"
"Pod-4","1063","77","Operational","13:01:39"
"Pod-2","1021","33","Operational","13:01:41"
"Pod-2","1058","21","Operational","13:01:43"
"Pod-6","824","38","Docked","13:01:45"
"Pod-4","812","88","Maintenance","13:01:47"
"Pod-2","1037","54","Docked","13:01:49"
"Pod-1","889","32","Operational","13:01:51"
"Pod-6","886","53","Operational","13:01:53"
"Pod-2","847","66","Docked","13:01:55"
"Pod-5","875","42","Docked","13:01:57"
"Pod-2","741","71","Docked","13:01:59"
"Pod-4","823","62","Docked","13:02:01"
"Pod-3","1068","97","Maintenance","13:02:03"
"Pod-2","837","55","Docked","13:02:05"
"Pod-1","628","81","Docked","13:02:07"
"Pod-5","669","23","Maintenance","13:02:09"
"Pod-1","959","89","Operational","13:02:11"
"Pod-4","984","73","Maintenance","13:02:13"
"Pod-5","1024","66","Maintenance","13:02:15"
"Pod-4","957","32","Operational","13:02:17"
"Pod-3","1190","22","Maintenance","13:02:19"
"Pod-3","867","100","Docked","13:02:21"
"Pod-5","805","70","Operational","13:02:23"
"Pod-6","626","27","Maintenance","13:02:25"
"Pod-1","839","66","Maintenance","13:02:27"
"Pod-5","918","57","Operational","13:02:29"
"Pod-4","1077","84","Operational","13:02:31"
"Pod-3","668","86","Operational","13:02:33"
"Pod-5","882","74","Maintenance","13:02:35"
"Pod-1","1029","49","Docked","13:02:37"
"Pod-4","883","73","Docked","13:02:39"
"Pod-4","814","39","Operational","13:02:41"
"Pod-4","1009","53","Maintenance","13:02:43"
"Pod-2","963","58","Docked","13:02:45"
"Pod-3","1013","84","Maintenance","13:02:47"
"Pod-6","686","34","Operational","13:02:49"
"Pod-5","1020","65","Maintenance","13:02:51"
"Pod-5","987","96","Operational","13:02:53"
"Pod-4","773","40","Maintenance","13:02:55"
"Pod-3","873","30","Maintenance","13:02:57"
"Pod-4","607","33","Docked","13:02:59"
"Pod-6","1043","51","Docked","13:03:01"
"Pod-4","1020","20","Maintenance","13:03:03"
"Pod-2","710","33","Maintenance","13:03:05"
"Pod-1","993","31","Maintenance","13:03:07"
"Pod-6","976","64","Maintenance","13:03:09"
"Pod-3","887","31","Maintenance","13:03:11"
"Pod-5","929","46","Maintenance","13:03:13"
"Pod-4","679","84","Docked","13:03:15"
"Pod-1","710","46","Operational","13:03:17"
"Pod-5","1026","31","Docked","13:03:19"
"Pod-4","1184","31","Operational","13:03:21"
"Pod-4","1050","40","Docked","13:03:23"
"Pod-4","1142","63","Docked","13:03:25"
"Pod-3","779","88","Docked","13:03:27"
"Pod-4","616","77","Docked","13:03:29"
"Pod-4","951","46","Maintenance","13:03:31"
"Pod-3","863","98","Operational","13:03:33"
"Pod-5","770","20","Maintenance","13:03:35"
"Pod-2","1055","83","Operational","13:03:37"
"Pod-3","1159","75","Maintenance","13:03:39"
"Pod-6","744","68","Docked","13:03:41"
"Pod-4","677","26","Operational","13:03:43"
"Pod-5","985","62","Docked","13:03:45"
"Pod-3","966","68","Maintenance","13:03:47"
"Pod-2","876","60","Operational","13:03:49"
"Pod-1","898","70","Docked","13:03:51"
"Pod-1","796","44","Operational","13:03:53"
"Pod-3","848","92","Operational","13:03:55"
"Pod-6","672","79","Maintenance","13:03:57"
"Pod-3","727","65","Operational","13:03:59"
"Pod-1","1115","99","Operational","13:04:01"
"Pod-3","875","27","Maintenance","13:04:03"
"Pod-2","1118","43","Operational","13:04:05"
"Pod-6","1064","79","Operational","13:04:07"
"Pod-5","774","69","Maintenance","13:04:09"
"Pod-5","1139","37","Operational","13:04:11"
"Pod-5","1182","83","Maintenance","13:04:13"
"Pod-4","901","29","Maintenance","13:04:15"
"Pod-5","1061","47","Operational","13:04:17"
"Pod-2","614","52","Maintenance","13:04:19"
"Pod-1","1013","93","Operational","13:04:21"
"Pod-1","972","100","Operational","13:04:23"
"Pod-6","875","76","Maintenance","13:04:25"
"Pod-1","1137","78","Maintenance","13:04:27"
"Pod-5","1161","41","Docked","13:04:29"
"Pod-6","1061","63","Operational","13:04:31"
"Pod-2","758","69","Docked","13:04:33"
"Pod-3","1174","20","Docked","13:04:35"
"Pod-5","734","72","Maintenance","13:04:37"
"Pod-2","654","49","Operational","13:04:39"
"Pod-3","883","75","Maintenance","13:04:41"
"Pod-2","807","20","Docked","13:04:43"
"Pod-5","1041","77","Docked","13:04:45"
"Pod-2","663","75","Docked","13:04:47"
"Pod-3","1055","25","Docked","13:04:49"
"Pod-3","1081","33","Docked","13:04:51"
"Pod-1","1047","64","Maintenance","13:04:53"
"Pod-4","753","56","Docked","13:04:55"
"Pod-6","961","22","Maintenance","13:04:57"
"Pod-5","910","95","Docked","13:04:59"
"Pod-2","678","35","Docked","13:05:01"
"Pod-5","1086","67","Docked","13:05:03"
"Pod-6","994","91","Docked","13:05:05"
"Pod-4","1159","59","Maintenance","13:05:07"
"Pod-2","1200","93","Operational","13:05:09"
"Pod-2","662","44","Operational","13:05:11"
"Pod-1","781","48","Maintenance","13:05:13"
"Pod-6","890","34","Operational","13:05:15"
"Pod-2","1129","90","Maintenance","13:05:17"
"Pod-4","1182","72","Maintenance","13:05:19"
"Pod-3","699","86","Operational","13:05:21"
"Pod-4","798","83","Operational","13:05:23"
"Pod-2","1107","92","Maintenance","13:05:25"
"Pod-1","647","46","Docked","13:05:27"
"Pod-3","848","44","Operational","13:05:29"
"Pod-4","905","90","Operational","13:05:31"
"Pod-4","714","55","Maintenance","13:05:33"
"Pod-5","1129","76","Maintenance","13:05:35"
"Pod-1","1089","41","Docked","13:05:37"
"Pod-3","615","55","Maintenance","13:05:39"
"Pod-2","1110","59","Maintenance","13:05:41"
"Pod-2","1079","84","Maintenance","13:05:43"
"Pod-6","1111","47","Operational","13:05:45"
"Pod-3","821","91","Docked","13:05:47"
"Pod-2","1084","100","Docked","13:05:49"
"Pod-6","987","98","Maintenance","13:05:51"
"Pod-6","766","79","Docked","13:05:53"
"Pod-6","766","57","Maintenance","13:05:55"
"Pod-3","1077","79","Docked","13:05:57"
"Pod-6","1024","73","Maintenance","13:05:59"
"Pod-5","605","37","Operational","13:06:01"
"Pod-5","848","54","Maintenance","13:06:03"
"Pod-5","677","91","Operational","13:06:05"
"Pod-3","1166","54","Maintenance","13:06:07"
"Pod-5","1125","96","Docked","13:06:09"
"Pod-1","620","30","Maintenance","13:06:11"
"Pod-6","1119","20","Maintenance","13:06:13"
"Pod-5","907","72","Operational","13:06:15"
"Pod-6","809","53","Operational","13:06:17"
"Pod-6","810","81","Docked","13:06:21"
"Pod-1","1067","21","Operational","13:06:21"
"Pod-4","735","81","Docked","13:06:23"
"Pod-5","777","66","Operational","13:06:25"
"Pod-2","852","35","Operational","13:06:27"
"Pod-3","1121","29","Maintenance","13:06:29"
"Pod-2","901","22","Docked","13:06:31"
"Pod-5","1155","92","Maintenance","13:06:33"
"Pod-2","1163","68","Maintenance","13:06:35"
"Pod-3","788","28","Docked","13:06:37"
"Pod-3","763","93","Operational","13:06:39"
"Pod-3","840","81","Docked","13:06:41"
"Pod-2","784","32","Docked","13:07:27"
"Pod-6","999","100","Maintenance","13:07:29"
"Pod-4","963","79","Operational","13:07:31"
"Pod-6","1079","43","Docked","13:07:33"
"Pod-1","1094","28","Operational","13:07:35"
"Pod-3","876","47","Operational","13:07:37"
"Pod-5","824","46","Operational","13:07:39"
"Pod-2","676","66","Maintenance","13:07:41"
"Pod-6","850","52","Maintenance","13:07:43"
"Pod-3","708","100","Maintenance","13:07:45"
"Pod-6","968","97","Docked","13:07:47"
"Pod-3","1126","76","Docked","13:07:49"
"Pod-3","664","79","Operational","13:07:51"
"Pod-5","741","24","Operational","13:07:53"
"Pod-2","1121","24","Operational","13:07:55"
"Pod-2","829","97","Docked","13:07:57"
"Pod-5","1163","77","Operational","13:07:59"
"Pod-1","643","100","Maintenance","13:25:45"
"Pod-4","812","42","Docked","13:25:47"
"Pod-2","842","24","Operational","13:25:49"
"Pod-4","833","86","Docked","15:24:38"
"Pod-4","866","74","Docked","15:24:40"
